taxon,lineage,conflict,ambiguity_score,scorpio_call,scorpio_support,scorpio_conflict,scorpio_notes,version,pangolin_version,scorpio_version,constellation_version,is_designated,qc_status,qc_notes,note
9a9fb21f-0241-464c-bab2-8ecb1081ca79,B.1.177,0.0,,,,,,PUSHER-v1.8,4.0.2,0.3.16,v0.1.4,False,pass,Ambiguous_content:0.02,Usher placements: B.1.177(1/1)
d1ec5c64-60e8-4600-b362-d27a7aaaa57d,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,scorpio call: Alt alleles 22; Ref alleles 1; Amb alleles 0; Oth alleles 0,PUSHER-v1.8,4.0.2,0.3.16,v0.1.4,False,pass,Ambiguous_content:0.02,Usher placements: B.1.1.7(1/1)
93848d79-08e4-44f5-89d3-1d60fde45a7f,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,scorpio call: Alt alleles 22; Ref alleles 1; Amb alleles 0; Oth alleles 0,PANGO-v1.8,4.0.2,0.3.16,v0.1.4,True,pass,Ambiguous_content:0.02,Assigned from designation hash.
edd7dc4a-abb4-4131-9c9c-c89ef269b2e6,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,scorpio call: Alt alleles 22; Ref alleles 1; Amb alleles 0; Oth alleles 0,PUSHER-v1.8,4.0.2,0.3.16,v0.1.4,False,pass,Ambiguous_content:0.02,Usher placements: B.1.1.7(7/7)
ee4f9127-757c-4cf9-9cac-7c4b5004e0d6,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,scorpio call: Alt alleles 22; Ref alleles 1; Amb alleles 0; Oth alleles 0,PUSHER-v1.8,4.0.2,0.3.16,v0.1.4,False,pass,Ambiguous_content:0.03,Usher placements: B.1.1.7(2/2)
cda4f040-1f19-4e24-a473-b8f9f80b9dec,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,scorpio call: Alt alleles 22; Ref alleles 1; Amb alleles 0; Oth alleles 0,PUSHER-v1.8,4.0.2,0.3.16,v0.1.4,False,pass,Ambiguous_content:0.09,Usher placements: B.1.1.7(6/6)
289e813e-97ab-4acd-b9bc-2d2bd4206be2,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,scorpio call: Alt alleles 22; Ref alleles 1; Amb alleles 0; Oth alleles 0,PUSHER-v1.8,4.0.2,0.3.16,v0.1.4,False,pass,Ambiguous_content:0.02,Usher placements: B.1.1.7(1/1)
09be8930-7c08-4087-9041-609486debe74,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,scorpio call: Alt alleles 22; Ref alleles 1; Amb alleles 0; Oth alleles 0,PANGO-v1.8,4.0.2,0.3.16,v0.1.4,True,pass,Ambiguous_content:0.02,Assigned from designation hash.
2ebdb5cd-e31d-450f-b84d-667c1bf46b70,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,scorpio call: Alt alleles 22; Ref alleles 1; Amb alleles 0; Oth alleles 0,PUSHER-v1.8,4.0.2,0.3.16,v0.1.4,False,pass,Ambiguous_content:0.03,Usher placements: B.1.1.7(2/2)
7541e86c-0767-4368-a1d4-12e7d89f97ce,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,scorpio call: Alt alleles 22; Ref alleles 1; Amb alleles 0; Oth alleles 0,PANGO-v1.8,4.0.2,0.3.16,v0.1.4,True,pass,Ambiguous_content:0.02,Assigned from designation hash.
0de46a02-8d9a-47bf-9cdc-deb1043e8999,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,scorpio call: Alt alleles 22; Ref alleles 1; Amb alleles 0; Oth alleles 0,PUSHER-v1.8,4.0.2,0.3.16,v0.1.4,False,pass,Ambiguous_content:0.02,Usher placements: B.1.1.7(7/7)
149a3303-1635-4e03-8f22-0c0dd63a9418,B.1.177,0.0,,,,,,PUSHER-v1.8,4.0.2,0.3.16,v0.1.4,False,pass,Ambiguous_content:0.08,Usher placements: B.1.177(1/1)
798aa7bb-1d19-4dce-95ed-a6eced547300,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,scorpio call: Alt alleles 22; Ref alleles 1; Amb alleles 0; Oth alleles 0,PUSHER-v1.8,4.0.2,0.3.16,v0.1.4,False,pass,Ambiguous_content:0.02,Usher placements: B.1.1.7(1/1)
6df0f42a-f57e-4b11-ba36-d2251f8ae5de,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,scorpio call: Alt alleles 22; Ref alleles 1; Amb alleles 0; Oth alleles 0,PUSHER-v1.8,4.0.2,0.3.16,v0.1.4,False,pass,Ambiguous_content:0.03,Usher placements: B.1.1.7(1/1)
6d489616-4dff-499d-b535-6016052e6a27,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,scorpio call: Alt alleles 22; Ref alleles 1; Amb alleles 0; Oth alleles 0,PUSHER-v1.8,4.0.2,0.3.16,v0.1.4,False,pass,Ambiguous_content:0.07,Usher placements: B.1.1.7(6/6)
c3b266b7-7931-403e-be9a-ca3ae90cb317,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,scorpio call: Alt alleles 22; Ref alleles 1; Amb alleles 0; Oth alleles 0,PUSHER-v1.8,4.0.2,0.3.16,v0.1.4,False,pass,Ambiguous_content:0.1,Usher placements: B.1.1.7(2/2)
e1325ae4-6edf-4282-891d-11c1705460dd,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,scorpio call: Alt alleles 22; Ref alleles 1; Amb alleles 0; Oth alleles 0,PUSHER-v1.8,4.0.2,0.3.16,v0.1.4,False,pass,Ambiguous_content:0.02,Usher placements: B.1.1.7(4/4)
